# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000163|DEAT|1728-09-05|Palermo, Provincia di Palermo, Sicilia, Italia.|P000076||S000001|IMPORT_RMTREE
E000164|BIRT|1638||P000077||S000001|IMPORT_RMTREE
E000165|DEAT|||P000077||S000001|IMPORT_RMTREE
E000166|BIRT|1600|Siracusa, Sicilia, Italia.|P000078||S000001|IMPORT_RMTREE
E000167|DEAT|||P000078||S000001|IMPORT_RMTREE
E000168|MARR|1629|||F000031|S000001|IMPORT_RMTREE
E000169|BIRT|1600|Siracusa, Sicilia, Italia.|P000079||S000001|IMPORT_RMTREE
E000170|DEAT|||P000079||S000001|IMPORT_RMTREE
E000171|BIRT|1535||P000080||S000001|IMPORT_RMTREE
E000172|DEAT|||P000080||S000001|IMPORT_RMTREE
E000173|DEAT|||P000081||S000001|IMPORT_RMTREE
E000174|BIRT|1590|Naro, Provincia di Agrigento, Sicilia, Italia.|P000082||S000001|IMPORT_RMTREE
E000175|DEAT|||P000082||S000001|IMPORT_RMTREE
E000176|MARR|1615|||F000033|S000001|IMPORT_RMTREE
E000177|BIRT|1675|Palermo, Provincia di Palermo, Sicilia, Italia.|P000083||S000001|IMPORT_RMTREE
E000178|DEAT|1728|Palermo, Provincia di Palermo, Sicilia, Italia.|P000083||S000001|IMPORT_RMTREE
E000179|BIRT|1590|Naro, Provincia di Agrigento, Sicilia, Italia.|P000084||S000001|IMPORT_RMTREE
E000180|DEAT|||P000084||S000001|IMPORT_RMTREE
E000181|BIRT|1660||P000085||S000001|IMPORT_RMTREE
E000182|DEAT|1745-12-20|Palermo, Provincia di Palermo, Sicilia, Italia.|P000085||S000001|IMPORT_RMTREE
E000183|MARR|1690-12-18|Palermo, Italy||F000040|S000001|IMPORT_RMTREE
E000184|BIRT|1630||P000086||S000001|IMPORT_RMTREE
E000185|DEAT|||P000086||S000001|IMPORT_RMTREE
E000186|BIRT|1560||P000087||S000001|IMPORT_RMTREE
E000187|DEAT|||P000087||S000001|IMPORT_RMTREE
E000188|BIRT|1555||P000088||S000001|IMPORT_RMTREE
E000189|DEAT|||P000088||S000001|IMPORT_RMTREE
E000190|BIRT|1555||P000089||S000001|IMPORT_RMTREE
E000191|DEAT|1630-11-25|Santa Ninfa, Provincia di Trapani, Sicilia, Italy|P000089||S000001|IMPORT_RMTREE
E000192|BIRT|1550||P000090||S000001|IMPORT_RMTREE
E000193|DEAT|||P000090||S000001|IMPORT_RMTREE
E000194|MARR|1580-04-08|||F000036|S000001|IMPORT_RMTREE
E000195|BIRT|1628||P000091||S000001|IMPORT_RMTREE
E000196|DEAT|||P000091||S000001|IMPORT_RMTREE
E000197|BIRT||Ger.|P000092||S000001|IMPORT_RMTREE
E000198|DEAT|||P000092||S000001|IMPORT_RMTREE
E000199|DEAT|||P000093||S000001|IMPORT_RMTREE
E000200|MARR||||F000049|S000001|IMPORT_RMTREE
E000201|BIRT||Alcamo, Trapani, Sicilia, Italia.|P000094||S000001|IMPORT_RMTREE
E000202|DEAT|||P000094||S000001|IMPORT_RMTREE
E000203|BIRT|1562|Naro, Agrigento, Sicilia, Italia|P000095||S000001|IMPORT_RMTREE
E000204|DEAT|1627-08-26|Naro, Agrigento, Sicilia, Italia|P000095||S000001|IMPORT_RMTREE
E000205|MARR||||F000039|S000001|IMPORT_RMTREE
E000206|BIRT|1562||P000096||S000001|IMPORT_RMTREE
E000207|DEAT|1593|Naro, Agrigento, Sicilia, Italia|P000096||S000001|IMPORT_RMTREE
E000208|BIRT|1540||P000097||S000001|IMPORT_RMTREE
E000209|DEAT|||P000097||S000001|IMPORT_RMTREE
E000210|BIRT|1500||P000098||S000001|IMPORT_RMTREE
E000211|DEAT|||P000098||S000001|IMPORT_RMTREE
E000212|BIRT|1537||P000099||S000001|IMPORT_RMTREE
E000213|DEAT|||P000099||S000001|IMPORT_RMTREE
E000214|BIRT|1560|Siracusa, Sicilia, Italia.|P000100||S000001|IMPORT_RMTREE
E000215|DEAT|||P000100||S000001|IMPORT_RMTREE
E000216|BIRT|1530||P000101||S000001|IMPORT_RMTREE
E000217|DEAT|||P000101||S000001|IMPORT_RMTREE
E000218|BIRT|1529||P000102||S000001|IMPORT_RMTREE
E000219|DEAT|1585-11-12||P000102||S000001|IMPORT_RMTREE
E000220|BIRT|1660|Palermo, Provincia di Palermo, Sicilia, Italia.|P000103||S000001|IMPORT_RMTREE
E000221|DEAT|1721-01-11|Palermo, Provincia di Palermo, Sicilia, Italia.|P000103||S000001|IMPORT_RMTREE
E000222|BIRT|1535||P000104||S000001|IMPORT_RMTREE
